,news_text,category
0," [앵커] 윤석열 당선인이 대통령직 인수위원회 추가 인선을 발표하며 대선 이후 일주일 만에 인수위원 구성을 마무리했습니다. 당선인 측은  전문성을 키워드로 내세웠는데 면면을 살펴봤더니, 서울대 출신의 50대 남성이 가장 많이 포진한 것으로 나타났습니다. 방준원 기자의 보도입니다. [리포트] 새 정부 밑그림을 그릴  인수위 구성이 마무리됐습니다. 실물 경제를 설계하는 경제2분과는 이창양 카이스트 교수가  간사를 맡았고 '우주인' 고산 씨도 이름을 올렸습니다. 과학기술교육분과에는 국민의힘 박성중 의원이, 여가부 폐지 등을 다룰 사회복지문화분과에는 임이자 의원이 간사로 임명됐습니다. 감염병 전문가 백경란 교수도 합류했습니다. [안철수/대통령직인수위원장 : ""해당 분야의 전문성을 위주로 해서 인선을 했습니다. 세계 최고 수준의 업적을 가지신 분들 중심으로 인사를 했습니다.""] 인수위원 24명 구성을 따져보니 서울대 출신, 50대, 남성이 주류를 이뤘습니다. 절반을 넘는 13명이 서울대 출신이고 평균 나이는 57.6세입니다. 남성이 스무 명으로 80%를 넘겼고, 여성은 4명에 그쳤습니다. 대선 기간 내내 윤 당선인이 공을 들였던 2030 세대, 청년층은  인수위원에 포함되지 않았습니다. 직업별로는 현직 교수가 12명으로 가장 많았고, 현역 의원이 6명이었습니다. 안철수 계로는 국민의당 이태규 의원에 이어 신용현 전 의원, 김도식 서울시 정무부시장이 추가 합류했고, 유웅환 전 SK혁신그룹장 등 전문가 5명이 안 인수위원장 추천이었습니다. 공동정부 구성을 염두에 둔 인선으로 풀이됩니다. 인수위는 내일 오전, 현판식을 갖고 본격 출범합니다.  KBS 뉴스 방준원입니다. 촬영기자:조승연/영상편집:최정연/그래픽:김정현 김현갑 ",정치
1,"  [앵커] 윤석열 당선인의 새 집무실 후보지가 광화문 외교부 청사와 용산 국방부 청사 두 곳으로 압축됐습니다. 현장 점검을 해서 이른 시일 안에 결정한다고 합니다. 유력하게 거론되는 국방부 청사를 두고는 이전 비용과 안보 우려 등이 나오며 논란도 되고 있습니다. 안다영 기자가 보도합니다. [리포트] 윤석열 당선인과 안철수 인수위원장 등이 오후 논의 끝에 새 집무실 후보지로 서울 광화문 외교부 청사와  용산 국방부 청사 두 곳으로 압축했습니다. 내일 현장 점검을 벌인 뒤 조만간 최종 결정하기로 했습니다. 처음 검토됐던  정부 서울 청사는 보안상 문제로  완전히 배제됐습니다. [김은혜/윤석열 당선인 대변인 : ""물리적으로 이전의 문제가 아니라 그 안에 담고 있는 저희의 생각은 늘, 국민과 함께 호흡하고 국민에게 불편을 끼치지 않는 게 굉장히 중요하죠.""] 점검과 논의를 거쳐야 하겠지만, 현 시점에서 가장 우선 꼽히는 건  국방부 청사입니다. 당선인 측은 용산공원이 완성되면 집무실 일대와 연결해 당선인이 공원에서 국민과 바로 만날 수 있다고 밝혔습니다. 그러나 논란도 만만치 않습니다. 먼저, 비용 문제가 나옵니다. 윤 당선인 측은  가급적 최소한으로 하겠다 했지만 행안부는 5백억 원 비용이 든다고  추산한 것으로 알려졌습니다. 집무실 이전으로  연쇄 이동해야 할 국방부와 합동참모본부, 직할부대 등의  이전 비용도 더해야 합니다. 국방부 내에는 4천 백여 명이 상주하고 있습니다. 국방부 청사의 위기관리시스템 등을 이전해야 하고 이 과정에서 대비 태세에 허점이 생길 수 있다는 우려도  나왔습니다. [김병주/민주당 의원/국방위원 : ""북한의 미사일 발사 등 안보 위협이 가중되어 대비 태세 유지에 집중하고 실시간 상황에 대비해야 하는데, 부대 전 장병이 이사 준비를 하고 있는 현실에 참담함을 느낍니다.""] 외교부 청사의 경우는  정부 서울 청사와 비슷한  보안과 경호상 문제를 안고 있습니다. 당선인측은 취임 때부터  새 청사에서의 집무 시작을 생각하고 있습니다. 50여 일을 앞둔 촉박한 상황인데 이명박 정부 당시 대통령실 실장이던 임태희 당선인 특별 고문은 시한을 정해 두고 급하게 추진하기 보다 완급을 조절할 필요가 있다는 의견을 내놓기도 했습니다. KBS 뉴스 안다영입니다. 촬영기자:김민준/영상편집:김태형/그래픽:노경일 ",정치
2,"    사진=국회사진기자단    국민의힘 이준석 대표는 윤석열 대통령 당선인 측근, 한동훈 사법연수원 부원장을 서울중앙지검장에 임명해선 안된다는 목소리가 더불어민주당에서 나오는 것을 두고 “2차 가해”라고 비판했다.    이 대표는 17일 자신의 사회관계망서비스(SNS)에 “한동훈 검사에 대해 어떤 인사 계획도 나온 게 없는데 뭐 하자는 건지 모르겠다”고 썼다. 이 대표는 특히 “한 검사가 공무상 잘못한 것이 있다면 배제를 주장해도 된다”면서도 “민주당이 한 검사를 집단 린치해놓고 이제 와서 자신들의 과거가 마음에 걸리니까 한 검사에게 불이익을 주자는 것”이라고 지적했다.   그러면서 “수사 잘하는 검사를 몇 년이나 한직에서 고생시켰으면 미안한 마음을 가져야지 고작 생각해 내는 게 2차 가해인가”라고 꼬집었다.    한 부원장은 조국 전 법무부 장관 관련 의혹 등 현 정부 인사 관련 수사를 하다 좌천된 인사로 꼽힌다. 대표적 ‘윤석열 사단’이기도 하다. 한 부원장은 윤 당선인이 검찰총장 임명 당시, 대검찰청 반부패강력부장에 임명되며 역대 최연소 검사장으로 승진한 바 있다.    앞서 국회 법제사법위원회 민주당 간사인 박주민 의원은 이날 저녁 KBS 라디오 ‘주진우 라이브’와의 인터뷰에서 “한동훈 검사장의 경우에는 윤석열 당선인하고 매우 특별한관계다. 엄청 가까운 사이”라고 강조했다. 그러면서 “서울중앙지검은 윤 당선인 관련 사건을 수사하고 있는데 특별관계인이 수사를 하면 공정성이 의심받고 검찰을 정치화시키는 계기가 될 것”이라고 했다. ",정치
3,"국민의힘 이준석 대표 [연합][헤럴드경제=박로명 기자] 국민의힘 이준석 대표는 17일 윤석열 대통령 당선인의 측근인 한동훈 사법연수원 부원장(검사장)을 서울중앙지검장에 임명해선 안된다는 목소리가 더불어민주당에서 나오는 것과 관련, ""2차 가해""라고 비판했다.이 대표는 이날 페이스북 글에서 ""한동훈 검사에 대해 어떤 인사 계획도 나온 게 없는데 뭐 하자는 건지 모르겠다""며 이같이 적었다.한 부원장은 조국 전 법무부 장관 관련 의혹 등 현 정부 인사 관련 수사를 하다 갈등 속에 좌천된 '윤석열 사단' 중 한 명이다.이 대표는 ""한 검사가 공무상 잘못한 것이 있다면 배제를 주장해도 된다""면서도 ""민주당이 한 검사를 집단 린치해놓고 이제 와서 자신들의 과거가 마음에 걸리니까 한 검사에게 불이익을 주자는 것""이라고 지적했다.이어 ""수사 잘하는 검사를 몇 년이나 한직에서 고생시켰으면 미안한 마음을 가져야지 고작 생각해 내는 게 2차 가해인가""라고 반문했다.앞서 국회 법제사법위원회 민주당 간사인 박주민 의원은 이날 저녁 KBS 라디오 '주진우 라이브'에 나와 ""한동훈 검사장의 경우에는 윤석열 당선인하고 매우 특별한 관계""라며 ""엄청 가까운 사이""라고 강조했다.박 의원은 ""서울중앙지검은 윤 당선인 본인을 포함해 배우자 김건희 여사와 관련된 사건들, 이런 다수의 사건이 존재하는 곳""이라며 ""그렇게 어마무시하게 특별한 관계인 사람을 검사장으로 앉힌다는 것은 사건의 공정한 수사를 담보하게 어렵게 만들 가능성이 있다""고 지적한 바 있다.앞서 윤 당선인은 한 언론과의 인터뷰에서 사실상 한 부원장을 언급하며 ""이 정권에서 피해를 많이 봤기에 서울중앙지검장을 하면 안 되는 건가""라고 직접적으로 언급하기도 했다.",정치
4," [앵커] 사전투표 부실관리 논란으로 선관위 내부에서도  사퇴 압박을 받아온 노정희 중앙선관위원장이 사퇴설에 선을 그었습니다. 선관위 사무총장이 물러나고 상임위원 두 자리가 공석이라 70여일 남은  지방선거에 대한 우려도 나옵니다. 강나루 기자의 보도입니다. [리포트] 코로나19 확진자들이 길게 줄을 서 대기하고 기표소 곳곳에서 바구니와 비닐 팩이 등장한 초유의 사전투표. 부실관리의 책임은 중앙선관위원장이 져야 한다. 국민의힘은 노정희 선관위원장의 사퇴를 촉구했습니다. [김기현/국민의힘 원내대표 : ""노정희 위원장이 자리를 보전하는 한, 국민 불신은 결코 해소될 수 없습니다. 노 위원장은 국민 앞에 정중하게 머리 숙여 사죄하고 자진 사퇴해야 마땅합니다.""] 전날 사의를 밝힌 사무총장의 사직 처리를 위해 위원 회의를 소집한 노 위원장. 사퇴 의사를 묻는 기자들의 질문엔 입을 굳게 닫았습니다. [노정희/중앙선거관리위원회 위원장 : ""(입장 정리하신 게 있을까요?) ... (사퇴하실 생각은 없으신가요?) ...""] 세 시간 뒤, 노 위원장은 선관위 모든 직원에게 이메일을 보냈습니다. 위원장으로서 책임을 통감하고, 어느 때든지 책임을 회피하지 않겠다면서도 현 상황에서 눈앞에 다가온 지방선거를 흔들림없이 준비하는 게 책임을 다하고자 함이라고 밝혔습니다. 적어도 6월 지방선거 때까지는 사퇴하지 않겠다는 뜻을 밝힌 겁니다. 그러나 이미 전국 13개 시도 선관위 상임위원 등이  거취 표명을 공개 요구한 상태라  거취 논란이 이어질 가능성, 상당합니다. 9명이 정원인 선관위원은 현재 두 자리가 공석이고 후임 사무총장 인선 논의도 이뤄지지 않았습니다. KBS 뉴스 강나룹니다. 촬영기자:박찬걸/영상편집:한효정 ",정치
5,"'尹 최측근' 한동훈, 서울중앙지검장 발탁 가능성에 민주당 비판""고생시켰으면 미안한 마음 가져야…고작 생각한 게 2차 가해냐""한동훈 사법연수원 부원장(검사장). 2022.1.27/뉴스1 © News1 허경 기자(서울=뉴스1) 김일창 기자 = 이준석 국민의힘 대표는 17일 더불어민주당이 한동훈 사법연수원 부원장(검사장·사법연수원 27기)에게 '2차 가해'를 하고 있다고 비판했다.이 대표는 이날 자신의 페이스북에 ""민주당이 한 검사를 집단 린치해 놓고 이제와서 자신들의 집단 린치 과거가 마음에 걸리니까 한 검사에게 불이익을 주자는 것이라면, 이게 바로 '2차 가해'다""라고 말했다.이 대표는 ""한 검사가 공무상 잘못한 것이 있다면 배제를 주장해도 된다""며 ""그런데 어떤 인사 계획도 나온게 없는데 뭐하자는 것인지 모르겠다""고 비꼬았다.그러면서 ""수사 잘하는 검사를 몇 년이나 한직에서 고생시켰으면 미안한 마음을 가져야지, 고작 생각해 내는 게 2차 가해냐""라고 지적했다.한 검사장은 검찰 내 대표 특수통 검사이자 윤석열 대통령 당선인의 최측근으로 분류된다. '국정농단 특검'에 윤 당선인과 함께 했고 윤 당선인이 서울중앙지검장일 땐 중앙지검 3차장, 윤 당선인이 검찰총장이 됐을 땐 대검찰청 반부패·강력부장으로 승진했다.하지만 조국 전 법무부 장관 일가에 대한 수사를 기점으로 부산고검 차장검사로 전보됐다. 이후 법무연수원 연구위원을 거쳐 작년 6월부터 사법연수원 부원장을 지내고 있다.일련의 상황으로 한 검사장은 윤 당선인 취임 후 검찰 요직인 서울중앙지검장에 발탁될 가능성이 제기되고 있다.박주민 민주당 의원은 이와 관련해 전날(16일) 한 라디오 인터뷰에서 반대 의사를 밝히며 ""서울중앙지검은 윤 당선인 관련 사건을 많이 수사하고 있는데, 당선인의 특별관계인이 수사를 하게 되면 수사의 정당성, 공정성이 의심을 받을 수밖에 없다""고 말했다.이어 ""이는 윤 당선인이 계속 부르짖어왔던 검찰의 중립·독립을 훼손하고 검찰을 정치화시키는 계기가 될 것""이라고 지적했다.",정치
6,"[KBS 강릉]정의당 강원도당이 레고랜드 테마파크 개장에 맞춘 불꽃축제를 취소하라고 요구했습니다.정의당은 강릉과 동해, 삼척에서 발생한 산불로 강원도민들이 심각한 고통을 겪고 있는 상황에서, 강원도가 불꽃축제를 준비하는 것은 도민을 불안하게 하는 행위라고 주장했습니다.또, 최근 산불 피해를 고려해 제주도는 들불축제를 취소했는데, 산불 피해 지역인 강원도에서 불꽃축제를 여는 건 온당치 않다고 덧붙였습니다. ",정치
7,"  김은혜 당선인 대변인이 13일 오전 서울 영등포구 여의도 국민의힘 당사에서 브리핑을 하고 있다. 김 대변인은 이날 오후 여의도 당사에서 인수위원장과 부위원장, 기획조정 분과 간사, 인수위원 2명 등 5명의 인사를 발표하겠다고 밝혔다. 뉴스1           대통령직인수위원회는 인수위원회가 50대 남성이 다수 포진하고, 청년이 소외됐다는 지적이 나오는 데 대해 “앞으로 인수위에는 청년보좌역 등이 다양한 방식으로 참여할 예정”이라고 17일 밝혔다.김은혜 당선인 대변인은 이날 서면 브리핑을 통해 이같이 밝힌 뒤 “이미 당선인 비서실에도 젊은 인재가 상당수 배치되고 있으며, 인수위에서 또한 실무위원 등으로 역할을 하게 될 것”이라고 말했다.      김 대변인은 “청년정책은 별도 조직이나 의제가 아닌 국정과제 전반에 걸쳐 다뤄져야 한다”며 “부동산·탈원전 폐기 또한 당선인의 정책방향이 확고한 만큼, 전문위원 및 실무위원의 보강과 함께 정권교체의 여망을 잇는 유능한 정부의 국정지표로 확실하게 추진될 것”이라고 강조했다.      이날 인선이 완료된 인수위원 면면을 보면, 평균 연령 57.6세에 남성이 다수를 차지해 ‘서오남’(서울대 출신 50대 남성)이 인수위원 주류로 부상했다는 지적이 나왔다.  ",정치
8," [앵커] 민주당이 대선 패배 수습을 위해 비상대책위원회를 출범시켰지만, 방향성을 두고 갈피를 못 잡고 있습니다. 대선 당시 지도부가  비대위원장을 맡는 게 맞느냐는 당내 논란도 이어지고 있습니다. 송락규 기자입니다. [리포트] 당 쇄신과  지방선거 준비를 과제로 출발한 민주당 윤호중 비대위. 그런데 출범 사흘 만에 윤호중 비대위 체제에 대한 문제 제기가 잇따르고 있습니다. 86그룹 의원 모임이 위원장 사퇴를 요구했고, 오늘, 초재선 의원 간담회에서도 거취 표명 요구가 나왔습니다. 대선 당시 원내대표, 위성정당 사태 당시 사무총장이던 윤호중 위원장이 쇄신을 이끄는 게 적절하냐는 겁니다. [김종민/민주당 의원 : ""(지금 비대위 체제는) 저는 조금 쉽지는 않을 것 같아요. 전체적으로 다시 한번 당원들과 의원들의 의견을 수렴해서 당을 단합시키는 그런 방법을 고민해 볼 필요가 있다.""] 다만, 지방선거가 곧 있는 만큼 현 비대위원장 체제를 크게 흔들지 말고 봉합하고 가자는 기류도 있습니다. [고용진/민주당 비대위 수석대변인 : ""조속히 바꿔야 된다는 의견도 있고, 또 그것은 소모적 혼란만 계속 지속 될 뿐이다. 사람이, 비대위원장이 중요한 것이 아니라 어떻게 하느냐가 중요하다는 의견까지...""] 비대위 구성원을 둘러싼 잡음도 불거졌습니다. 대선 패배는 5년 내내 나쁜 정치를 한 탓이다, 문재인 대통령 퇴임사에 반성문을 남겨야 한다고 한 채이배 비대위원 발언에 청와대 출신 의원들은 사과를 요구하고 나섰습니다. 민주당은 다음 주 후반, 새 원내대표를 뽑을 예정입니다. 비대위원장 거취 논란, 당 쇄신 방향 논란이 원내대표 선출의 변수로 이어질 수 있다는 관측도 나옵니다. KBS 뉴스 송락규입니다. 촬영기자:최연송/영상편집:김형기/그래픽:고석훈 ",정치
9,"  윤석열 20대 대통령 당선인은 당선 이후 집무실 인근 식당에서 점심식사를 하고, 도보 이동을 하며 국민들과 인사를 나누는 등 활발한 소통 행보를 이어가고 있다. 최근엔 자택 인근 대중목욕탕 목격담까지 나왔다.윤 당선인은 17일 오전 자택인 서울 서초동 주상복합아파트 지하에 있는 대중목욕탕을 이용했다고 한다. 같은 아파트 주민인 이모 변호사는 이날 자신의 SNS에 ""목욕탕에서 목욕 마치고 탕에서 나오는데, 덩치 좀 있고 살이 뽀얀 분이 슥 옆을 지나 탕으로 간다. 가만 보니 대통령 당선인""이라며 목격담을 남겼다. 당선 전과 다르지 않게 소탈한 행보를 이어가는 것이다.     윤석열 대통령 당선인이 지난 16일 서울 종로구 통의동 집무실 인근 음식점에서 인수위 지도부와 함께 점심식사로 김치찌개를 먹고 있다. [사진 윤 당선인측]       한편 과거 ""대통령이 된다면 '혼밥'(혼자 밥 먹기)하지 않겠다""고 선언한 윤 당선인은 나흘 연속으로 오찬을 공개했다. 서민 음식인 꼬리곰탕(14일 남대문시장), 짬뽕(15일 경북 울진 산불피해 현장 인근 중식당), 김치찌개(16일 통의동 인근 식당), 피자·파스타(17일 통의동 인근 식당) 등이 그간 점심 메뉴였다.      윤석열 대통령 당선인이 17일 오후 서울 종로구 통의동 당선인 집무실 인근 식당에서 오찬을 한 뒤 김한길 국민통합위원장, 박주선 대통령 취임식 준비위원장, 김병준 지역균형발전특별위원장 등과 산책하며 시민들에게 인사하고 있다. [사진 국민의힘]       이날은 김한길 대통령직인수위원회 국민통합위원장, 김병준 인수위 지역균형특별위원장, 박주선 대통령 취임식 준비위원장과 함께 통의동 집무실 근처 식당에서 오찬을 했다.       윤 당선인은 식사를 마친 뒤 도보로 통의동 거리를 걸으며 국민들과 만났다. 이날은 경복궁 앞 돌담길을 따라 산책한 뒤 통의동 집무실로 복귀했다. 대통령경호처의 경호를 받는 대통령 당선인의 도보 이동과 시민 접촉은 다소 이례적인 일이다. 경호처는 윤 당선인이 차량으로 이동할 때 인수위 사무실 앞 인도를 통제하고 있지만, 식사를 위해 도보로 이동할 때는 필수적인 근접 경호만 했다고 한다.   ",정치
